name,equipable_weapon,icon,wiki_url,attack_stab,attack_slash,attack_crush,attack_magic,attack_ranged,defence_stab,defence_slash,defence_crush,defence_magic,defence_ranged,melee_strength,ranged_strength,magic_damage,prayer,slot,attack_speed,weapon_type
Black demon mask,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAACvklEQVR4XuWWb0tTYRjG93wO3wx8EQyCEUhICAsJifmiL9KroDdFCEZUUomYZSN0OEpmkq5Sx3JM5hpz/tlqaRpGfZI7rvvhPj7n7Gxxpucs8IKbs+3sPM/vXPefc0Kh8yFF9uiqFBXXk5T7lKCVpSlKp550E0rRbiVDG7lZyn6Y5uNSepyePb7dDShFlWKaGnuf6aBRpLXMS6qWFml9NWG5FA2Hg4RStF8v0PzcGG8OmO0v72mnvMxOdQWolJ+zwSB9e1sfqVZd6RTI2R1e8q5odOSm5YrA4HMhO9MJkL7D/Npr7g4U43A85gFO8XUm0NbmAtfS2+Qjr0CKyhvzVN9epe+1PB02Nun4sMoFCvtxh8sLE23cU5SYGuE1BKZUSPE1M69GaezBLe9AWAAAyDfuEosf7Zfo548Kdw3sx3/Qzu/ePOWNTDg4C0ekiNFZz8fvWOcB4wnIuQECUOgcAAHu6KDM0ABGepGO1OxDutzXR1f6++laLMYDEb+ZrniEgbTlzQvo2fJtN8cgAoe0ft3JsmuAuzowYItwTw+HxzSZUjQ9ea/FAhoKm6PGAIbAZ9SKE0aAcIRr2m3PUvRi4m4LIH0eATcABndQa0gRNsbRGaZD7mv+U60utteV28aIG/E4XejttcJ+XYdyg8FmssnFSMRy5PrgIA0PDdkgcD4SCllxKRrlOBVUs/RdmmAAARDCBMJ3SaM4d8ridpd0nBPMmT5JIWbQ7+PaWdRRewkY5g6ApKsEBEMRYwGPEHEHM+mMU+Ym7ZQA/flVZ0fwmBEQvIYkE/et1xFfHLJLNdVKZnGSj5jgeDHDIwRu+lDYblK8EYafGeaAxHcBQgf6DKUdahcCJA3hW3FraSBnlzmBTBAfYSANJLPHLQJwxdRJyqR+JDUBpcgpDXRSrPbUBAwjagZx/iNw/Tcg50Z/ASEqOtiS8VLAAAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Black_demon_mask,0,0,0,0,0,0,0,0,0,0,0,0,0,0,head,,
Runner boots,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAAC/UlEQVR4XtWW70sUURSGnb+jLwt9EAJBhJCQwJCQMCRJEgvDDDNsWTAzy5ZlMTPTzC1RpP7YiecM78yZO+OPdpYWDxxWd2fuec77nntnBgauZ0RxMfsWUdx4+yZee1eP19837JP/+wSYwKysvjSYreZGvLm1ngOrN17b7/8BKkqLkRsf1uL2509xs7WZgvFJFtXquXIZzOLSs3i1/soAdr624t1v7XjvYNty/3DHfuN6gEkA+URB1ugBYGRFlldeGMzC4rwtLDV8YhnXAMDfWNlqf7QMwWhuafl5N1BRoXBZUhxwPilIAxTHUlREze0vTbOZ5HfWHq7VLMOqF0RkC12U2CdFBEP3fBeCk4CjpIDCipdEZLNRlnSOHVIHMD/cZQkkwFjfJRARxT9PDnIJEOqoCIoAp2EugxM46szNz1YDOvvzy/Lk7Cj+0dlL1aE4RZ4uzNl3KkyGcFKHa2ceT1cBIhKoUB0GlyLTj6asgGZKJ7nAQnWmHk5WBypThyGm44n741YAWHYRAHrE6BT36uj6ykDfj3ZtC0sdzhMKjIwMWwEU5JBkuwuElDqzT2ZMnbGxO9WBjk8PU7uwxRep1W5YAbJzvJ9Co6COAq+OGqgERCENrnaW5oGOBwdvWhGBY52GPlRnaOhWFaAijJ5rZV1r1rxKgmf4x+/drQKUh/HPIg43igDk58Lfo1nqkWX5hfXuI7sogA10PflgIt05fjd622iA67l2dPR2anFY9ZzIYPTeA5C2uldHQNxz+rtjO027kft0BoUzJ4WuoFICw/bVU9q/QpTZJasYaN1LIzokdU+X2z4yyfUA1WuDug3tEgxWSZ3w8PQzhJr/DMSiAkIlgCgQ2pUtmqhDI6jjHy3eLhrwp/QVgYgoVSe0S+p4GNTBKjUhu/wRIbu6gFFk777a7uo0v2jyyEBVqSN7ZReqekW7gEnCF/WZXzSbOeyVot4uVC3eVzG0WHHRxF7tSNTRi77s6jnM5ZGppwNUdvUBJomr2dunON/eax5/AdEm8mejISpSAAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Runner_boots,0,0,0,1,1,8,8,8,0,0,0,0,0,0,feet,,
Verac's helm 100,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAABtElEQVR4Xt3W32rCMBQG8OYNdtWb3RS8KAhCEIqUUiiIjDIZCAURQdje/x2yfSkxyUn6x5FUtgMfgtL0xzlJa5L8/2LCztOqB6zXiZUIqDkLakjTFAOoOetMFhNdd5ixmAZVFXdAAbvFxPncyoV4lo0sNg1Sa4yvM6s0iv6iS4OKYuNgTBC98hfFxPX6PoHqQW1bLQO63T4kyl6UHm8mDvtScJ47mMAglI1C9nsu6nojyjIX2+1KZlHQ1+dJopD2rbBACG7aH/nMwUQAodjP/kjE8bizQAo1BlKYgCAmLpdGnE6lBTK7ZCM0Kgqm6+o7xgdCsIdWq9RK4FHp0zM0JhVg0BUKQgKB+ucKuoJPgPAJFGJCFGYIpFD0Dg9Uj8GYfCiEjkuFQgKNzQ9CZxSGQuj4ooBoZ3wgCqEjVKdtEdAcjLmpFwENQQJiUOMgc1xjGBNE7/BgTYN8GHq6ngIawwQFAWO+t9RTmoIowIcJBjLfW/Td5esKvsvzl3sCdUeV+2+QjsrEmJBIoCRR7dZt96PS1MVEAfkLqExmt3uV4TyVeRII5Y7Tl0Abel7RcQ6FXvcn6xta6OPmC6yzIQAAAABJRU5ErkJggg==,https://oldschool.runescape.wiki/w/Verac's_helm#100,0,0,0,-6,-2,55,58,54,0,56,0,0,0,3,head,,
Obsidian helmet,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAACU0lEQVR4Xu2X20oDMRCGm5fwxpuCF4WCUIQiIgVFRKRSLIpSi6IWD3go1lpPiPgIPqH4Jitfwr9k0xUvmiqogSHb3Szz7T+TmbRQ+B9/Y5hk2H5kOOetzc1kd3s7tfV6/bvhnKP9nVZy2G4nR3t7Q7bRaCSrS0vJ/NzcuKGMVUEwecYzVNtqNq1aywsL44JyMDg9OThIzjqdjHEPdfKg1lZWxgHlwoTzi+PjpHt6au36/Nz+/gyK8GG8XykWY0IZ6wiAx34/Y/e9XgYKYy2KohJAM5VKbJWM/XqcC+RpMLCWByUglAJKCR5RJWMdCUgwPtDtVTcTOmAEpOSOBOTUwZkP9Hx3Zy0PSutRilwisUtTU7HC5tQhJCHQy8PDENDN5UW6EwGSQsqjCCqZVJ0wZNx/q5UsXAjFM0LmF8rpcjmGSsaqg5MwqQX0HkCxlrARrtfShAVCpdlqNYZKJq05fL2vkuqSjHsCIlzkDiDMFMnFWi1GCXAKAYUjQQlIUKpBAlJRFBTX/m4bQSVjE1NQUsoHxAiRtjz3eac4OZlC8VttZAQYhgMiH1DDbxkCYsY5z9RoWa8WQrgA0/EkClAIxSwgAAWEY65ZK1P4IvW1LJCgCA9AUktAzALSO2of2vbRgHwodgxAUksnAMIELGvUYJXYkYpjFkjGF1NXBCXzoTHWAcMcsckOQwGjDu+HLjx+uJpjrKLRm6wSky9Vv1JnD4GoznLuABzYiDUoHCbduv5hLO/Yihqo4kDciAyjIcn9vzuf25ggskMO5OwrC9//H79yfAAtkoD1qVCimwAAAABJRU5ErkJggg==,https://oldschool.runescape.wiki/w/Obsidian_helmet,0,0,0,0,0,25,23,26,0,24,3,0,0,0,head,,
Holy book,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAADF0lEQVR4XtXWT2sTQRgG8Ow32NNc5jKwh4WevPoBPClepUgvPZhLDnqoUESJkEOFgoVAkRBQG4ykpqamSWNtSy0IKoIIIoKCiODRz/C6z/zJzDbpdneb2vrCy+YS8ssz78xOofB/l0eqz0R51F0W1LrPNepUYR4NaoI6VU7NRU71CqflO8yB/XPcKMhnc07fOIA7UaBHOw8F9R4Iai9xatzjxNjtCDGvOw5TXRoDPNi5Kw5CQgCZPgqmukiV64zKJUbz13yam/Xzojzabwjaqgs50AAxXom6TJ3Oq5FOgrmg6YsKdE6ILCiP3q8GMRDjCxpUGcEc1japogSVrvo0FRTygd4+DWjvsQJhyRhf1CjTyTibmAL5/gxdOG8xGUAefVwLhiDMEONLGuR2HHYQZ0FIqUgF/5LGmaFPXR59eBbQmydCLhkTVdUSZToZhjlTQ69B/mwEmJKfi1cyzZBHn7uBBCEhoJhYtqhEnAszIKSk0llYWJI7LMMMefS1H9CndQXCUHNRk61QptPAKhrkpBM9M86QAiEhzBAXdd0KlYiLwRTITUee5tEzE+b7VjgEISUuHuk2sCScC0NK5ZF08Ey5VCgF+jYI6UsPmIbTBnY4bgjTCcXTKWVP5+duSD+2Q4niQdP2obBRnAVNIJ1fe+EQxYOW02lwCqVAx04H5Y2BjOskXH1S6aDU7sJ9p9F4Tisr7ehHO1HjiU6AaZxJB9eT6i1GM5f9vOmg1EDjFdHt7tD6+rY8+tfWXlK7PaDV1T6JoCt7HBRHBE50XOJwxa3d5fLwk8uWPR2UWjKczGrXmCGtStzGxi71+3u0uflaPkU40N2TjWMChyj+EFJevMn0sk3nSQfl0Z93U/R7X8/RmKE1OwiJITkkiDSBxYZASgAhpeFQ50vHlL1einBL/nO7PO4Q2/RwADabL6jV6sllBTY+1LnSsWW/HL//KuBAz5CZHSCRnsXJV4Z+w2d4gaYrgzsa2NHJ1fS2r8ihPnY6R1USEDsUtwNz3cVVdaLppKlxQNwucdU98XTSlAs7dYxbZwozifoLnL97ePvyP9AAAAAASUVORK5CYII=,https://oldschool.runescape.wiki/w/Holy_book,0,0,0,0,0,8,8,8,8,8,0,0,0,5,shield,,
Rune kiteshield,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAADPElEQVR4Xt2XS08TYRSG+f5BV92wYe3KDXHl0rhxYYKJIcbEYKKJKwkiIJcUKFi5losFgdpCK+UWwQpCBAIIFClQKBCI8mNeOaf9ZqYflNsMKfFNTiaZxfTJe67Nyvo/JKC+yaAE5ie/44ZACcyFw4jMz2NyZPgmQAmszs0hFoloLt3OyckUlMDK7Cw2V1eQ/cLPYBl2SWBjeZlhOJ73cfqGfb5MQAlEfy1hd3NDg8ku6IH9mQfhoRB629uTUKfFtUjoMAqQ/WkHpsfG8C00iBG/H8HeHng7O+FpaUZrff0pgKZBBeLRKMdpMPYn7kTkN8H+2AX7I2ci8hywP6yE7UEZhwR876hCVUmJGSiBg53ttO5oMEYgBabb3Qq3y4UP1Q44ysoYhrrzCh0qcLi7i5319fOB0sBQfXU0NKCxpga15eVmYEgC+7GYDnMcLf5VDaqqdfxMGJmqZqcTdZUVqCgu1oDUX7qABP7s7SG2tpYC5B6I8LOhbxHljaNnwpA7at2Ycmdva1OHeRngcAd+ozO0hTrPDEpdoRQYFehjU6NeN7fumXOHaofdSYLIaAtGGWphagpvnQGGKar2pYBQ9LS52R01VVcG0tyRMK8GGaZjcCNRzGlAjO5YlipyhyEMQH/393EYj/PEpnQVOrwYGxjgpwpD7lAhc6py88ykinSydqi4PUPb/H5tYYE3PcF8DQQw8SV4AoranNx5V1Rk3h36cc2d46AUySfNI9ryVMy0w97U9mvxurKXYWgIkjucKnOFTFLcoXmTDCpkuoOodqiYCYpA1O4id6iQSwsLzbtzdHCgu5McfnIq00DUWjwJpQKluJOTa5E7ChB31HE0eZdShiDBcNsbgKQ7FrQ5SXAXGVOVdl8ZoCSM7CzeV+Zrh5RIGQ/D8xaoIXVGdyzY5qoEA9GsuRBQMl1yKlOr2+7kW+GOlA5E7Z0WSHGHprLc6Ba6Q0qcqhJocfpHeiCDO/Lesd0tsNIdqcRBL4FoKv8cH8fU6AjfzTSd6Z8G3c79XV0p16DF7kjpQEsz0ww0OzHBhzxNZwIKffYi8Kmbj3kCovqx3dcHofpFC6T+Q7hYXIM7uuTHLxvqdy6rf3QSoQpHlIS2AAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Rune_kiteshield_(Asgarnia),0,0,0,-8,-3,44,48,46,-1,46,0,0,0,0,shield,,
Banner,True,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAABEklEQVR4XmNgGNqA8T/xmOaA8X9WrA8Kzk3wwxCDYRo4Ct3H5GKqAMb/y3SlMTCmZZgYux6KAabB5GKQWQYKCpQ6atRBxADqOGrUQYTwcHYQCFDuqEHloJW0dtDVLcooGCZ2fSumOM0dhO4YdIzNUTRwEAgwYliObCmyY0GOQsZrDKjuIEgI4XIIenQiO4ZGITTIEzU5eNRBhPDIcNBiLBYRi6noIMpDB4ZBZqGbTgagroOoEEqjDiIEGHEmZkiawMTo6qjuIHRDScHoeqnioLL0kP8VWeH/6/Ki/zcUxv5vLU1EwR3lSf8LkgL/F6cGw9U1F8eB5UA0iA8SB8lDHEoxwPQ5OgYNOKCLYcOgECImlADhZCOnKowSRgAAAABJRU5ErkJggg==,https://oldschool.runescape.wiki/w/Banner_(Zamorak),0,0,0,0,0,0,0,0,0,0,0,0,0,0,weapon,4,banner
Pirate bandana,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAACVElEQVR4Xu2Wy05TURSG2W/CI/gkTJwzIU4cGBlgTDDGRIIERSpiQSo2UoSAIjWxck/Fig2lVnpJa+kltSZOSHyFX/612eUcaB3oOW0T+yc7vZyVs779r7X2OV1dHXX0f0tBr7aQQi6VQvpL/BSqpWAKR5kMcskkUvEDxPc+IRoOtwpKoZDNijvZw6843N/HQSSCzzs7+LD2vtluKRRzuZo7mUQCiWgUsY+72NveRjgUwubqKt4tLzUDSqGU/2Zzh0D8ZB8ZMEK9CQQE6FJ3t1tQCpVC4cydEyDCGCC6lU+n8ev4GFvBIBafz7oJdAJTLKJ8lBd3mNiUywpE4GQsJuUaGxpyC0ihWi5LskblMkA/KhUpW/DlPKY94zWo83f8Ryl8L5Xs5Tp1x8CY9bNalWl7PTeHed+Mu1DWclkheAYRguPO65GNDbyYmpKmJpT34Rg8IyNuHAXmho0Xz6PQq2U8eXBfftMpv9eLx6OjAkbHHIVig9ZbTML+WvL7cbmnpwbI5ua0zTzyCIxvYgKzk5OWTbgmJT3FhFd6eyWZAWWDs3SEIgwdCzydlv9chFLSR+PDw7hx/ZoFSF8zpeNifxGGUPY4x6SPBTYzXbg7OIirfX3ndq+kdIQhyMIzn3xnvAsu6RN8fWVFEnGibvb319m9Eme4GEe32FdnE+iY9JN/d30NbxcXpE/u3bldB0jHEoZQjOP0mbiLsX8t/ZLGhyqfYZw0jv2tgYEGO7cfFQ7DUHrCGjlUL9nFY8NxKVsP/QmmiVK1qWkDGKO2gtFqK5iOWqXfiQfFqdo+JuUAAAAASUVORK5CYII=,https://oldschool.runescape.wiki/w/Pirate_bandana_(white),0,0,0,0,0,0,0,0,0,0,0,0,0,0,head,,
Shorts,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAABr0lEQVR4Xu3Vv0vDQBQH8OQ/6NQ5kCEQCITAEULp4ODmIDg5uDi5ODg4CA6Cg4MgOIiDFARBEEQo/oHP3F1ecnl5Mb+bpV/4TqW9T97dNZa1z2ixodxZY8P5wQLO1rqnyWJuXBWEPREWwe0EqEEcSoJkjyLdw4ACR48NyeoX4tU27Q/EyTeI+LMCoijZtUdxowB5UBR/QCTeIRRvEEavtSBZ4RYdiDIxPCgSGwUKoxcIwmfwg8e0DyxK/l7oOKp0pZaxDYwBSr4aQX5wD55/C553A653Da57lYPoKi3DYAaAHPdyTFCG6Qy6GwtUj2kCBeHTlCAeUwGpm8aBRtsyCSpDTIyqvGltQemBHgDKMAaEw+wIVJ5MCUEwdSD2lvUDIWZbYIzFaevOEILUge4PMiZjTgcX/q8NIPxT7AiSIdtVmgJf+R0ORc+RvmUXXUEy9M2sSyEVUAbHF62Jwv+iniDLwpefWY3alIpY9kxlKL19ekq9QfXBaRUgxNIW24dTmgSkp5cvmk+vOlX1uZrSxCCMiamPnW8bgpbL4+yBZguzna0eZsLQ7ZwVs88+c+QPP4hBcNK4hk0AAAAASUVORK5CYII=,https://oldschool.runescape.wiki/w/Shorts_(blue),0,0,0,0,0,0,0,0,0,0,0,0,0,0,legs,,
Mystic gloves,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAAB6klEQVR4Xu2W2ysEURzHnb9jXk7tw5QnL/4KHryJ8oBcsiis29q2ddl1qc2GtnUnG9EKGxYRwhO5pBAleZEkyaOHL+c31u5OknaaHQ/zqWma5tT5zPec329OWpqJiYnJX2CIXboTP1n8pLFnbt2GVLQAKX9CbymG+iYHJInTvbS8Erl5BTRpetcr5NYHyPZrWGzH4FW74MVhepfBuR5SDMHZRQRGpuD1+eFs60SNrQnl1moUFpch0/eO9O43RarlBpb6U/DqffCyiF4pMaxv7WEiOAf/4Dh6vP1wuNxotDtJLG/4PSbV/piwpCIhHVJiODo5x0wojNHJGfT5h0mqo9NLaTU7XD9K6CQThWF1Y4eWbmgsSEn5BoY0SmiuRobQYoSkfhJRj/4dpSJ5yXJcukmhVSQKg6XuUKnIz80vFYaSl9ImImCQnXewNF8qbaJiM+Ej1aNTwGfv6niC7LonIcNlqEV4XiA7bmnZokLqkSniS8j9TE3U8HRanO3U4dXFoR6ZAhj1LtFM6xrs9MvJys5JvrK0ofQv0eXFv1CkZK2qNTIhhpX1bUzPLX2nJE4MBm5mhs2dA8yH1zA+Nft9YjBU6Oz8MiElT3evkUIChourG5ISKfX2BYwWEsSOKAZu6ESiEv9CxkRvPgAr8Y5vR4zk5wAAAABJRU5ErkJggg==,https://oldschool.runescape.wiki/w/Mystic_gloves,0,0,0,3,0,0,0,0,3,0,0,0,0,0,hands,,
Ironman helm,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAADGElEQVR4Xs2X30sUURiGO/+BV914I3gRCIEEEhKCISFhSJIkJkkmmaRJZmamiZmZaaaZqWmmqWmapJUSplHmLywzRdDElOof+eL5hrNsC93U7qwHDrrrMPPM+77fO+OuXf+1jPh+E8RlZGluTnYQlJGJkREJCw3dKVBGxp4PyoHoaAWKDAsLNpSRl/19ciwxcecADXZ1yem0tJ0D1Hy3Ti7m5AQbiAA7e+RprzRUV3s+ByHcRh7cqZWb10rl0vlcOXUiVTN0KDZW9kVGuj1xRjqbmxXo9vVyKS8ulrzsbDmTni6pyclyMCZG9oSHu2mfkd72NmltqJe6ykoFunwhT85mZCjQ4bg42RsR4RaQkYHOTt0dTU2aG2y7kp8vuVlZat2R+Hg3bTPyoqdHd8/DVo9tpYWFOmWM/tGEBNkfFeWWbUZePevX3feoXdruNXhsI9zkiHDT2ti2OyQkkCo5Bei9Cff9mhqPbecyMzVHvtMWIJWMDHV3a36wCnX43N7YqECoQ4YAQiFXgPofd8iTlhapr6rSXVtRoRkCiHEnO8CgENMWQCAjo4MDahNhnpmYkIWpDzI7OamvHgDRRViGUvwkU8eTkhTMzzky8nZ4WJ/oKATQ0vy87vdjY/rqARBKlRUVKRibaWPyqAP74PU98z8uI2+GhnTUKUSANlZXZW35q3z6OKVA5IkHLDZSARTlyZQUBQXyakGBfudXKMLMVAH0a3tbvq+vy/LCgkyPj6uVqAfYrfIyBaC5gfR+6JIlP+XJAaKdmTAy8nNrS9ZXVuTz9LRaSjcBSw2gii1Nfrfq+A2G8eZiKMAdc6GtjW+y+mVRw02WyJgFQjHqAAuxDcX8CkQrW3VoZi76Y3NTc8R/HEwbOeM4bLL1wPFUg21yv2bIqsNdc/cAbq6tqUqLszPybvS1Bp+/YZO3ogHIEMs5KQpw51YxFLDjTgcx4qjBuBNsbxA/wjjLOaEDBhBwWAiQ7RwCb48JgCp/W85bowWyL2koY8FchLHLUQCgGyUlWog88V1W5s/lbaEviOsw3ssbIqgggVy/Aaw5Mmlda2OUAAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Ironman_helm,0,0,0,-6,-3,6,7,5,-1,6,0,0,0,0,head,,
Graceful legs,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAACcElEQVR4Xt2WXWtaQRCGc/5B770RciEcCIggIiIoInJQRPGgnIiiFquQtFSaNGlSQkJSoYXQpLSFfkEIgRBKL/v73vadZY2epJe7hg7MzaLswzOzM2dl5f8PB+GTJYaDZr0OBbV0MAeT9XNEIxFUSiV4hcIywRzsBzcYeacCpDOfzSKVTC4DzMGLxncBGlQPFqCYiXgcsdVVW1AODoaX2Ol9mRnqF4/vQDH523g0ahLKwd7gB14/vsB25zOeB+/l4kFpiqH3TmXtCG1vG5l4xQ7Q4ZMrgSJQ2MjYn2LUOEEp0UfkUcw0kCNl0kBhGGYru4NKaozcWjCDMQpEGGYYRGez+AxeumOjXH9fVfsjjkbXC6Xi+TxQPTdGPunbsbPbvMLx+Eb65D4YZjnTR8otmbfzqnU9Sw6/fwFZsKPMvPQvseVfyDDk0AvD0IwFO6qJ+bLYNxuVDxiXzxbsNKpVFFOBmLFihxNZYJpvZXnqBUoYbnkOwKzrI+3WkIx5Zu3wRe32v4mZXmVflqYuV6fVQq1cRj0zuQNjDIh9M6l/lX3lFzax5rpy6bDbFTtcEZw7VmB668EMqFs4lD5JxPICw77iTGK52MhWhqAGYrn062HTvtn4KWXkducQzCZqpu0wVI8wucVpgHk6+S12uNH9zJZYswJDO4SRJ53LSal4Pt38hafVTwhye7LNDc8cHcoOm5ZPXM8cZuD7csbXpr8GDdthqIv50Z5Jp2cwg3ZbjHFt6NdmAYbhyHzhxbflUNYIqT/gLcHoUFZuL1XWaGzeTvhfRmPRgLKmp7RlO/eFIyWcBwr/YgkRLuMDiAcFYzL+ANEPPFpZIJBRAAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Graceful_legs#Arceuus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,legs,,
Body tiara,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAAB5klEQVR4Xu2U70oCURDFnefwi4/Q61QQFWSBFliJmSZWZvbHMjMtxbSsJJMyyIQS6kvPNXHudjdd091NhYI9MLisc+/87pm5a7NZsmTJkqV/I2Ltm+EIdXRrES/Pu40k9ini491dXpib06tFHPL5RNKIw9ErsU8RH0ajPD0+rleLeG9jQy9JI2m9oRZ8qb1Oj1rEpbNTE0DEq0tLos1up5Nnp6YMQhFvBgJG6xDPTEwY2Ji4kE5z9ijB6YO4aMHOethAEcXJoNdrIFeIuHp5qZ5A+++3iF8eHvipcsu16yu+LRT4KpfVKUKciMU47Pered1z20R8kcmofe4EU26JBHLY7SLQ7kWX64d8ZQ0c3FoLmmmXFHGlWOST/T1h7eTYaAuYEo/lGwEkYSQQWqfNRcQjEXHA7XBIhTEBBBHfl0pcPs8Lt3LJpADExtj0rV7n11qtAwh5OADmEIOOgV/xeMTnBO6Yv8VtUpxqVKsd8/LeeO4KBFfRFoDjAHANgedfutMqEs6gGGAA8dFsqkD1u4oKKYFw67AGc4bAICMGACNFwm4UQfvQSswQHEPI1kogLYycowHBSCmbohUoBBfwDcqnUgISVx6/eCdhtCADhFGkbNh5g7rF0EC0ai2kF9q1lixZ+iv6BHn3+PyYIf2vAAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Body_tiara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,head,,
Black mace,True,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAAA3klEQVR4Xu2UwQrCQAxEm+/oZcGDIAhFEPEgCD31IgoiKPTQg+D//0AkDWt3o1AFyUbcgbml7GMyaVH8jwAHJxVDuLJ8WBkqTCIGCYEq5zSgXgNIZ6AxZ6B3rHRpnwEppJSBxvQjQFzg2ASTBCh8XFp+/WUBNvUU21MVpaL0uBTgZu3wfJj3QDIVOa0gwH0zw+6ySJmKF2C9nTwlI6eUxDDHXZyOnFKUsVXRVVGRzcDQqq7t0saqCMZMkak3ZlblYcxclYRJCDT05tatUqfDP0BD3SExlBEYL1MwLG2YO50vUi3w3LCxAAAAAElFTkSuQmCC,https://oldschool.runescape.wiki/w/Black_mace,8,-2,16,0,0,0,0,0,0,0,13,0,0,2,weapon,4,spiked
Rangers' tunic,False,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAACEklEQVR4Xu3WsWrCUBgF4OQNMmXJEsgQyCSBIlICFhEHHYQMoqWDFrFDOzh06NYH6Dv/zbk3J7mJWorGRGh/OKAp7f167jXGsv6nkbHlMJ2MXjxKLAnudLxIpwOYLfHMUumNdQBDHlJLkux6f2zCrtqeLfdLR/qpBhHlZs1Mn5wi6c6R1Xsg6Zsv8xdfZs++BJX2GsPZMswWJMrDVmWZ9DzVDkIQMWgLrQGEsNEGYLaE+MNjHT/RmcW+AnFhhcmC97wGKF6bIJ67i1HIYxLKYpBtST9QmGHkyWjjyGSZt5MFEGJ4tqK8UaBMUM/3z0fpX9YwtjMIXQWab0oQFiUGUAQg/DNAoaXqJ/PCMWH7Lw0iBjExPOxAroehahaow9tFI3MaRAyaU9sUVUH1li7aunKOg0wMt3A/7cl2FKnzh63G7cLENAaaGBCmjuH21gNUg+1gStDiVWe1LzF4z/sOWzDTcDuYQ9D6o4rhXfrUoqeunzG2bJNIBoFbANgOXmPbfgNqcGzZfbqyHoQqw9Arvk6AUTfDDBS6ThsgjTHPCtrB1wveo7XYcxSmNZB5dyYosiwVPoakcaBwVwbpdsyPNg80QcDE+XNSC2dIt0MQUbjeGcj8jmJwnahOQPUQREyrICxkPmKUC3YCwuTbk+hP1E8g/uzKoOozUbmgXWCQ1jDmVBcsQZ1gjk+9tRuYm8L8ifkGVaNZbmILIKAAAAAASUVORK5CYII=,https://oldschool.runescape.wiki/w/Rangers'_tunic,0,0,0,-15,15,6,9,12,6,6,0,0,0,0,body,,
Stale baguette,True,iVBORw0KGgoAAAANSUhEUgAAACQAAAAgCAYAAAB6kdqOAAABhElEQVR4Xu2W30oCYRTE/Z6jG68DQQSJ6CaICClCKJKSJA1zKVdKEA1D7C8ZghYlhRQRQUQXPeLEnOW40QucEAeG1b3ZH/PNjkYiE42HHP7eMZTD94uPAEptKofPRw8fg5JcX/u71lAO7w97GHbzeO4VRkDxaNQKygnI4Hobt+dbuL/MymfDlJwA9NqbuDpeR62YEDe8hC1U52QDp7X0CKhZTqJTn7WFah6uwM/FBIgFp7+GB7ZQTIlpsdzsltpwEoLjY6+06DQ7xqsZVLeVEQjCXdTXJLlWdVVsBqUg7FZtPwUvG5OycxrMoLTsTIZwuuhmUMFiuxGQlpylD6EMwMIHOwHRRWfXTNPSxFh2mkBc+PDnxgAskJMRVR8V4ni62bFLiw9lMkyI+9SuJHFWnRGbQnGrtE8s+9tdUd5EUyhdch1TwuiqG/2vCo7v95rzuyEQ5dDwl1EtLaFSXEQ5vyCDanRsKgcvN498Zg7pVAKx6SnrlKhwQBXGGCgc0H8BM9HY6wdLEmb0IIbWjAAAAABJRU5ErkJggg==,https://oldschool.runescape.wiki/w/Stale_baguette,-100,-100,-50,0,0,0,0,0,0,0,-10,0,0,0,weapon,4,blunt
